Years,Player,0-3 feet PPS,0-3 Freq,0-3 FGA per 75,3-10 feet PPS,3-10 Freq,3-10 FGA per 75,10-16 feet PPS,10-16 Freq,10-16 FGA per 75,16-3P feet PPS,16-3P Freq,16-3P FGA per 75,3P PPS,3P Freq,3P FGA per 75,FTA per 75,FT PPS,PP75,TS+,MP,Approx_Scoring_Val
2009 - 2014,LeBron James,1.45,0.34,6.56,0.85,0.13,2.56,0.77,0.1,1.82,0.8,0.21,3.93,1.05,0.22,4.26,9.2,1.53,31.02,115.48,4668,87.77
1998 - 2002,Shaquille O'Neal,1.53,0.43,8.69,0.82,0.49,9.84,0.58,0.07,1.47,0.0,0.0,0.0,0.0,0.0,0.0,11.91,1.05,32.29,111.78,3268
2003 - 2008,Richard Hamilton,1.19,0.24,4.26,0.83,0.1,1.86,0.83,0.29,5.13,0.78,0.28,5.1,1.03,0.09,1.68,6.13,1.71,24.47,101.17,4646,61.35
2002 - 2009,Jason Kidd,1.09,0.22,3.04,0.89,0.05,0.74,0.64,0.11,1.62,0.84,0.24,3.28,0.94,0.38,4.87,3.69,1.52,17.09,98.49,3811,40.21
"2012, 2013, 2015, 2016, 2017, 2018, 2019, 2020, 2022",Al Horford,1.51,0.26,3.2,0.9,0.21,2.46,0.88,0.11,1.4,0.95,0.15,2.08,1.06,0.26,2.82,2.43,1.57,16.64,110.77,3718,57.07
"2013, 2014, 2016, 2017, 2018, 2019, 2020, 2021",Paul George,1.31,0.21,3.46,0.75,0.09,1.65,0.8,0.13,2.16,0.79,0.16,2.63,1.08,0.42,7.11,6.8,1.65,24.25,103.77,3718,64.95
"2014, 2015, 2016, 2017, 2019, 2020, 2021, 2023",Kawhi Leonard,1.45,0.22,3.99,0.92,0.18,3.1,0.95,0.19,3.39,0.95,0.13,2.36,1.21,0.28,4.94,6.77,1.69,27.41,113.42,3716,82.55
2005 - 2010,Chauncey Billups,1.02,0.2,2.78,0.89,0.05,0.71,0.87,0.14,1.89,0.8,0.2,2.75,1.14,0.41,5.66,7.15,1.76,22.29,113.09,3645,74.69
2018 - 2023,Jayson Tatum,1.3,0.24,4.09,0.72,0.18,3.28,0.87,0.1,1.83,0.78,0.11,1.91,1.06,0.36,6.47,6.39,1.66,24.12,101.12,3635,60.77
2015 - 2023,Marcus Smart,1.17,0.17,2.0,0.81,0.17,2.07,0.64,0.07,0.9,0.67,0.05,0.54,1.01,0.55,6.58,3.65,1.54,15.24,94.93,3572,29.56
1997 - 2005,Rasheed Wallace,1.31,0.23,3.48,0.75,0.21,3.19,0.94,0.2,3.07,0.69,0.17,2.52,1.09,0.19,2.96,4.04,1.45,20.11,102.96,3520,55.49
"2003, 2004, 2005, 2006, 2007, 2008, 2010",Steve Nash,1.22,0.25,3.69,0.91,0.11,1.67,0.9,0.17,2.56,0.88,0.19,2.84,1.23,0.26,3.82,3.99,1.8,21.37,113.21,3469,73.01
"2012, 2013, 2014, 2016, 2017, 2018, 2019, 2020, 2021",Serge Ibaka,1.54,0.27,3.32,0.99,0.14,1.75,0.89,0.13,1.67,0.77,0.25,2.98,1.08,0.21,2.65,2.33,1.57,16.67,108.38,3454,53.84
2015 - 2019,Stephen Curry,1.3,0.17,3.3,0.79,0.11,2.1,0.9,0.07,1.34,0.9,0.11,2.09,1.21,0.55,10.86,5.55,1.82,29.18,113.53,3442,84.31
"2008, 2009, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",Chris Paul,1.3,0.16,2.78,1.05,0.18,3.03,0.96,0.2,3.43,0.86,0.19,3.21,1.09,0.27,4.61,5.09,1.7,24.69,110.02,3403,74.77
"2012, 2013, 2014, 2016, 2017",Kevin Durant,1.39,0.2,3.84,0.91,0.15,2.94,0.92,0.21,4.1,1.07,0.15,2.96,1.05,0.29,5.65,7.66,1.71,30.06,113.79,3396,85.17
"2002, 2003, 2004, 2005, 2006, 2008, 2009, 2010, 2011",Mike Bibby,1.2,0.16,2.25,0.78,0.07,0.93,0.81,0.06,0.74,0.68,0.36,4.85,1.12,0.36,4.5,3.54,1.57,17.02,98.74,3366,40.43
"2005, 2006, 2007, 2008, 2010, 2011, 2012",Manu Ginóbili,1.23,0.28,4.42,0.81,0.15,2.29,0.82,0.09,1.45,0.66,0.09,1.47,1.12,0.39,6.09,7.77,1.68,24.79,112.65,3275,78.43
2001 - 2007,Michael Finley,1.17,0.13,1.93,0.88,0.11,1.56,0.78,0.13,1.88,0.81,0.23,3.23,1.16,0.39,5.28,2.95,1.72,18.18,105.62,3265,54.18
"2001, 2002, 2003, 2004, 2007, 2008",Derek Fisher,0.89,0.15,1.57,0.5,0.06,0.59,0.77,0.1,1.02,0.9,0.3,3.02,1.34,0.39,4.03,3.2,1.59,15.1,112.75,3264,54.85
2006 - 2010,Kobe Bryant,1.23,0.19,4.17,1.02,0.12,2.67,0.93,0.17,3.71,0.87,0.28,6.07,1.05,0.23,4.92,7.95,1.69,31.25,107.59,3255,77.55
"2005, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015",Joe Johnson,1.2,0.13,2.18,1.0,0.21,3.51,0.8,0.15,2.45,0.8,0.23,3.77,1.09,0.28,4.57,3.77,1.57,21.06,99.82,3228,52.98
"1997, 1998, 2000, 2002, 2003, 2004, 2005, 2006",Gary Payton,1.22,0.32,4.83,0.78,0.16,2.5,0.74,0.11,1.6,0.66,0.11,1.71,0.82,0.29,3.86,3.11,1.55,17.71,95.73,3224,38.12
"2003, 2004, 2005, 2006, 2007, 2010, 2011, 2013, 2015, 2016",Richard Jefferson,1.3,0.38,4.75,0.74,0.1,1.27,0.65,0.08,1.04,0.82,0.24,2.96,0.76,0.19,2.19,5.34,1.55,18.31,108.47,3218,58.72
"2004, 2006, 2007, 2008, 2009, 2010",Lamar Odom,1.23,0.49,5.89,0.91,0.19,2.32,0.56,0.05,0.71,0.71,0.11,1.36,0.96,0.16,1.91,4.92,1.26,17.16,103.31,3206,47.56
"2018, 2019, 2020, 2022, 2023",Jaylen Brown,1.39,0.25,4.2,0.83,0.18,3.13,0.99,0.09,1.47,0.85,0.09,1.56,1.1,0.39,6.44,4.11,1.48,22.44,103.7,3200,61.71
"2012, 2013, 2014, 2016, 2017, 2018, 2019",George Hill,1.27,0.26,2.8,0.76,0.11,1.24,0.98,0.12,1.36,0.75,0.1,1.16,1.12,0.41,4.62,4.02,1.57,16.43,108.42,3186,53.26
